vx_input,vy_input,vx_output,vy_output
-500,0,-13.0,7.0
-500,0,-14.0,3.0
-500,0,-14.0,-4.0
-500,0,-14.0,4.0
-500,0,-16.0,5.0
-500,0,-13.0,-2.0
-500,0,-15.0,4.0
-500,0,-14.0,-1.0
-500,0,-14.0,-3.0
-500,0,-14.0,2.0
-500,0,-16.0,0.0
-500,0,-12.0,-5.0
-500,0,-16.0,2.0
-500,0,-15.0,2.0
-500,0,-13.0,-5.0
-500,0,-15.0,2.0
-500,0,-14.0,0.0
-500,0,-12.0,-6.0
-500,0,-16.0,1.0
-500,0,-16.0,1.0
-500,0,-13.0,-3.0
0,500,-16.0,0.0
0,500,-17.0,1.0
0,500,-12.0,-4.0
0,500,-8.0,9.0
0,500,-9.0,7.0
0,500,-2.0,9.0
0,500,-3.0,16.0
0,500,-2.0,14.0
0,500,-2.0,16.0
0,500,-4.0,14.0
0,500,1.0,14.0
0,500,0.0,14.0
0,500,-4.0,14.0
0,500,-2.0,14.0
0,500,-1.0,16.0
0,500,-6.0,15.0
0,500,0.0,15.0
0,500,-1.0,14.0
0,500,-6.0,14.0
0,500,-1.0,14.0
0,500,-1.0,15.0
0,500,-1.0,13.0
0,500,1.0,14.0
0,500,4.0,12.0
0,500,-1.0,14.0
0,500,3.0,15.0
0,500,2.0,14.0
0,500,-4.0,13.0
0,500,1.0,14.0
0,500,-1.0,15.0
0,-500,2.0,14.0
0,-500,4.0,14.0
0,-500,-1.0,14.0
0,-500,1.0,-6.0
0,-500,-2.0,-7.0
0,-500,-1.0,-4.0
0,-500,-2.0,-13.0
0,-500,-1.0,-15.0
0,-500,0.0,-15.0
0,-500,-1.0,-14.0
0,-500,1.0,-14.0
0,-500,-1.0,-13.0
0,-500,-1.0,-13.0
0,-500,1.0,-15.0
0,-500,-4.0,-13.0
0,-500,-3.0,-16.0
0,-500,1.0,-14.0
0,-500,-1.0,-14.0
0,-500,-2.0,-15.0
0,-500,1.0,-15.0
0,-500,-1.0,-14.0
0,-500,-1.0,-16.0
0,-500,1.0,-15.0
0,-500,0.0,-14.0
0,-500,-1.0,-16.0
0,-500,0.0,-13.0
0,-500,-1.0,-14.0
0,-500,-1.0,-15.0
0,-500,2.0,-14.0
0,-500,1.0,-14.0
400,400,0.0,-17.0
400,400,3.0,-15.0
400,400,-2.0,-12.0
400,400,8.0,6.0
400,400,8.0,8.0
400,400,7.0,4.0
400,400,14.0,8.0
400,400,8.0,12.0
400,400,9.0,11.0
400,400,11.0,9.0
400,400,9.0,14.0
400,400,10.0,10.0
400,400,11.0,10.0
400,400,8.0,13.0
400,400,7.0,10.0
400,400,11.0,10.0
400,400,7.0,14.0
400,400,6.0,11.0
400,400,13.0,9.0
400,400,8.0,13.0
400,400,8.0,12.0
400,400,11.0,11.0
400,400,9.0,11.0
400,400,8.0,8.0
400,400,11.0,11.0
400,400,10.0,11.0
400,400,9.0,9.0
400,400,12.0,12.0
400,400,10.0,11.0
400,400,9.0,9.0
-400,-400,12.0,9.0
